algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,80,3,50,69,92.18,11881.16,12057.50,2734.87,1443.06,1385.00,1005.29,11134.00,11486.50,2703.25,2.94,2.00,3.53
FCFS,0,3,50,69,94.59,11835.96,12911.50,2561.34,1378.02,1394.50,840.23,11091.68,12193.50,2563.32,3.13,1.00,4.63
SJF,0,3,50,69,94.01,7710.80,7950.50,4068.34,2071.70,234.50,3116.51,6965.38,7494.50,2584.42,2.94,3.00,1.30
RR,80,3,50,70,92.54,12526.96,12538.50,2821.60,1713.34,1500.50,1365.54,11751.88,11814.50,2781.46,2.78,2.00,3.00
FCFS,0,3,50,70,94.87,12767.72,13848.50,2333.45,1540.90,1419.00,964.35,11994.44,13121.50,2365.61,2.78,1.00,3.67
SJF,0,3,50,70,93.58,8203.30,7837.00,4677.41,2716.38,180.50,4019.35,7429.64,7768.00,2887.94,2.78,3.00,1.31
RR,80,3,75,14,92.42,18814.36,18826.00,3893.51,2490.73,2169.00,1911.71,18008.99,18110.00,3855.60,2.88,2.00,3.73
FCFS,0,3,75,14,94.80,18874.01,20521.00,3393.86,2238.32,2321.00,1262.84,18071.44,19686.00,3400.92,3.00,1.00,4.57
SJF,0,3,75,14,94.86,12322.88,12570.00,5907.91,2773.28,98.00,4618.27,11520.35,11780.00,4624.48,3.00,3.00,1.53
RR,80,3,75,25,92.40,18578.97,18909.00,3995.13,2509.88,2068.00,2245.51,17813.37,18159.00,3960.18,2.88,1.00,3.67
FCFS,0,3,75,25,94.76,18602.65,20500.00,4033.56,2292.45,2277.00,1372.93,17839.08,19708.00,4027.96,3.00,1.00,4.63
SJF,0,3,75,25,93.85,11212.65,11341.00,6586.38,4020.56,95.00,6038.96,10448.77,10889.00,4892.33,3.00,3.00,1.38
RR,80,3,75,36,92.19,18312.77,18097.00,3355.46,2879.99,2427.00,2482.32,17509.64,17337.00,3337.00,2.88,1.00,3.70
FCFS,0,3,75,36,94.78,18591.80,19998.00,3017.34,2307.55,2618.00,1163.08,17789.45,19173.00,3023.43,3.00,1.00,4.30
SJF,0,3,75,36,94.69,11589.41,12172.00,6789.29,3544.51,116.00,5328.65,10787.73,11356.00,4139.78,3.00,3.00,1.35
RR,80,3,75,47,92.36,18799.21,18629.00,3170.32,2457.08,2070.00,2032.00,18031.15,17845.00,3135.19,3.00,1.00,4.47
FCFS,0,3,75,47,94.70,18543.25,19927.00,2930.04,2411.69,2345.00,1486.41,17775.44,19080.00,2936.17,3.00,1.00,4.48
SJF,0,3,75,47,94.63,11520.51,11103.00,6370.04,3548.93,130.00,5692.85,10754.19,11432.00,4171.13,3.00,3.00,1.35
RR,80,3,75,58,92.29,18784.07,18549.00,3286.64,2887.92,2492.00,2337.38,18023.72,17867.00,3244.46,2.88,1.00,3.96
FCFS,0,3,75,58,94.60,18520.25,19852.00,2794.48,2553.13,2716.00,1440.94,17763.32,19092.00,2790.76,3.00,1.00,4.86
SJF,0,3,75,58,93.61,11250.24,10596.00,6420.18,4385.49,377.00,5987.57,10493.15,10000.00,4204.77,3.00,3.00,1.58
RR,80,3,75,69,92.37,17694.95,18089.00,4141.16,2338.29,2109.00,1860.22,16950.63,17449.00,4106.80,3.00,1.00,4.24
FCFS,0,3,75,69,94.56,17633.19,19385.00,3745.38,2170.48,1916.00,1350.15,16890.32,18732.00,3743.00,3.13,1.00,4.68
SJF,0,3,75,69,94.12,11240.21,11494.00,5755.78,3788.40,301.00,5456.40,10497.41,11178.00,4278.02,3.13,3.00,1.78
RR,80,3,75,70,92.49,18818.87,19251.00,3806.57,2641.41,2289.00,2226.83,18051.96,18480.00,3789.83,2.88,1.00,4.13
